# iso_utc	driver_pid	solver_pid	idx	elapsed_s	cpu_s	pcpu	ratio
2026-09-19T00:46:40Z	389	530	954	301	298	98.8	0.9900
2026-09-19T00:46:40Z	389	531	957	301	297	98.4	0.9867
2026-09-19T00:46:40Z	389	532	958	301	298	99.0	0.9900
2026-09-19T00:46:40Z	389	533	955	301	297	98.6	0.9867
2026-09-19T00:46:54Z	389	530	954	316	312	98.9	0.9873
2026-09-19T00:46:54Z	389	531	957	316	311	98.5	0.9842
2026-09-19T00:46:54Z	389	532	958	316	313	99.0	0.9905
2026-09-19T00:46:54Z	389	533	955	316	311	98.5	0.9842
2026-09-19T00:47:14Z	389	530	954	335	331	98.8	0.9881
2026-09-19T00:47:14Z	389	531	957	335	331	98.5	0.9881
2026-09-19T00:47:14Z	389	532	958	335	332	99.0	0.9910
2026-09-19T00:47:14Z	389	533	955	335	330	98.4	0.9851
