# iota(4,10) >= 28 ?  the deg(0) = 12 floor cube, split by degree sequence.
#
# Ground set 10, TARGET 28 -- not 32. The target is deliberately in this
# filename: tools/rung.sh derives its checkpoint name from (b, ground)
# alone and its skip test matches the deg column, so a run at one target
# would silently skip cubes recorded at another. See roadmap 46.
#
# Coarse pass, iota_sym 4 10 28 --seconds 3600, 4 threads:
#   deg(0) = 17..28  UNSAT, none over 90 s
#   deg(0) = 16      UNSAT   153.9 s
#   deg(0) = 15      UNSAT   302.7 s
#   deg(0) = 14      UNSAT  1418.4 s
#   deg(0) = 13      UNSAT  1775.4 s
#   deg(0) = 12      UNKNOWN at 3600 s  -> re-run below
#
# The floor cube. Degree sum is 4*28 = 112 over ten points, mean 11.2, so
# the maximum degree cannot be below 12; deg(0) = 12 is the floor and the
# family must be near-regular, with only 8 of slack over ten points.
#
# iota_sym 4 10 28 --only-deg 12 --seconds 36000 --slice 300 --cubecap 400
#   1 of 1 cubes refined -> 144 degree-sequence cubes
#   UNSAT after 37879.5 s, 0 at the limit
#
# Every sequence below was checked: 144 distinct, each 10 entries summing
# to 112 with maximum 12 at position 0. Sorted within blocks, not
# globally -- that is the sorted_blocks symmetry, so the entries are not
# monotone.
#
# VERDICT  iota(4,10) <= 27, and iota(4,9) = 27 embeds, so iota(4,10) = 27.
#
# sequence	verdict	seconds
[12,12,12,12,12,12,12,12,12,4]	UNSAT	116.4
[12,12,12,12,12,12,12,12,11,5]	UNSAT	367.4
[12,12,12,12,12,12,12,12,8,8]	UNSAT	273.3
[12,12,12,12,12,12,12,12,9,7]	UNSAT	589.3
[12,12,12,12,12,12,12,11,11,6]	UNSAT	618.5
[12,12,12,12,12,12,12,12,10,6]	UNSAT	1430.5
[12,12,12,12,12,12,12,11,9,8]	UNSAT	1200.4
[12,12,12,12,12,12,12,10,10,8]	UNSAT	808.0
[12,12,12,12,12,12,11,11,11,7]	UNSAT	625.8
[12,12,12,12,12,12,11,11,9,9]	UNSAT	1000.4
[12,12,12,12,12,12,12,11,10,7]	UNSAT	3031.4
[12,12,12,12,12,12,12,10,9,9]	UNSAT	1996.7
[12,12,12,12,12,12,10,10,10,10]	UNSAT	323.4
[12,12,12,12,12,12,11,11,10,8]	UNSAT	2169.4
[12,12,12,12,12,11,11,11,11,8]	UNSAT	730.5
[12,12,12,12,11,11,11,11,11,9]	UNSAT	149.4
[12,12,12,12,11,11,11,11,10,10]	UNSAT	320.3
[12,12,12,12,12,11,11,10,10,10]	UNSAT	777.6
[12,12,12,11,12,12,12,12,12,5]	UNSAT	298.1
[12,12,12,12,12,12,11,10,10,9]	UNSAT	1801.4
[12,12,12,12,12,11,11,11,10,9]	UNSAT	1512.9
[12,12,12,11,12,12,12,12,11,6]	UNSAT	683.1
